,value,percentage,code_com,mes,year
303,2974661.857,1,9,4,2020
304,3196176.385,1,9,5,2020
305,3394330.06,1,9,6,2020
306,4124597.367,1,9,7,2020
307,3825701.263,1,9,8,2020
308,3636332.142,1,9,9,2020
309,3685266.366,1,9,10,2020
310,3661150.298,1,9,11,2020
311,3983099.447,1,9,12,2020
312,17835.113,1,8744,1,2020
313,15770.011,1,8744,2,2020
314,16608.196,1,8744,3,2020
315,15531.111,1,8744,4,2020
316,15827.471,1,8744,5,2020
317,15839.422,1,8744,6,2020
318,17917.496,1,8744,7,2020
319,18096.779,1,8744,8,2020
320,16830.054,1,8744,9,2020
321,16095.768,1,8744,10,2020
322,15792.687,1,8744,11,2020
323,17053.994,1,8744,12,2020
324,2737334.364,1,13,1,2020
325,2357438.71,1,13,2,2020
326,2268882.296,1,13,3,2020
327,1825502.09,1,13,4,2020
328,1855359.252,1,13,5,2020
329,2019611.065,1,13,6,2020
330,2525218.389,1,13,7,2020
331,2202008.892,1,13,8,2020
332,2067050.074,1,13,9,2020
333,2184994.561,1,13,10,2020
334,2296506.89,1,13,11,2020
335,2569037.905,1,13,12,2020
336,450763.969,1,14,1,2020
337,422377.178,1,14,2,2020
338,407204.579,1,14,3,2020
339,329918.004,1,14,4,2020
340,377656.588,1,14,5,2020
341,387263.707,1,14,6,2020
342,396242.377,1,14,7,2020
343,391904.088,1,14,8,2020
344,419135.926,1,14,9,2020
345,423452.642,1,14,10,2020
346,427189.248,1,14,11,2020
347,409950.116,1,14,12,2020
348,2508069.037,1,15,1,2020
349,2121198.841,1,15,2,2020
350,2101279.181,1,15,3,2020
351,1658367.752,1,15,4,2020
352,1827469.331,1,15,5,2020
353,1973106.075,1,15,6,2020
354,2517075.658,1,15,7,2020
355,2431482.847,1,15,8,2020
356,2160161.801,1,15,9,2020
357,2092023.643,1,15,10,2020
358,2119833.626,1,15,11,2020
359,2351728.827,1,15,12,2020
360,458471.77,1,16,1,2020
361,389007.747,1,16,2,2020
362,394485.672,1,16,3,2020
363,337487.516,1,16,4,2020
364,347169.665,1,16,5,2020
365,385510.529,1,16,6,2020
366,497827.803,1,16,7,2020
367,489402.967,1,16,8,2020
368,422010.656,1,16,9,2020
369,396197.376,1,16,10,2020
370,405048.58,1,16,11,2020
371,428972.183,1,16,12,2020
372,1697792.905,1,17,1,2020
373,1475967.306,1,17,2,2020
374,1493138.351,1,17,3,2020
375,1268982.914,1,17,4,2020
376,1327958.665,1,17,5,2020
377,1438593.814,1,17,6,2020
378,1380397.914,1,17,7,2020
379,1390800.24,1,17,8,2020
380,1375753.284,1,17,9,2020
381,1471636.389,1,17,10,2020
382,1491474.968,1,17,11,2020
383,1600592.994,1,17,12,2020
384,456464.05,1,8743,1,2020
385,403435.857,1,8743,2,2020
386,403832.751,1,8743,3,2020
387,321712.013,1,8743,4,2020
388,327175.074,1,8743,5,2020
389,360864.887,1,8743,6,2020
390,528918.585,1,8743,7,2020
391,566318.86,1,8743,8,2020
392,403465.241,1,8743,9,2020
393,368113.495,1,8743,10,2020
394,364441.335,1,8743,11,2020
395,436982.595,1,8743,12,2020
396,155709.587,1,20,1,2020
397,139196.214,1,20,2,2020
398,137102.562,1,20,3,2020
399,111843.378,1,20,4,2020
400,117782.567,1,20,5,2020
401,121000.367,1,20,6,2020
402,144053.936,1,20,7,2020
403,133978.303,1,20,8,2020
404,137621.254,1,20,9,2020
405,141061.124,1,20,10,2020
406,139104.195,1,20,11,2020
407,141654.074,1,20,12,2020
408,17812.714,1,8745,1,2020
409,15817.3,1,8745,2,2020
410,15735.69,1,8745,3,2020
411,14737.721,1,8745,4,2020
412,15573.759,1,8745,5,2020
413,16708.38,1,8745,6,2020
414,21140.943,1,8745,7,2020
415,22335.731,1,8745,8,2020
416,18793.899,1,8745,9,2020
417,16551.482,1,8745,10,2020
418,15635.69,1,8745,11,2020
419,17166.954,1,8745,12,2020
420,1464723.239,1,10,1,2020
421,1370961.607,1,10,2,2020
422,1354901.587,1,10,3,2020
423,969319.589,1,10,4,2020
424,1122317.097,1,10,5,2020
425,1157223.566,1,10,6,2020
426,1211455.235,1,10,7,2020
427,987600.964,1,10,8,2020
428,1253870.065,1,10,9,2020
429,1374290.634,1,10,10,2020
430,1348346.356,1,10,11,2020
431,1322546.667,1,10,12,2020
432,818569.533,1,11,1,2020
433,753713.456,1,11,2,2020
434,793322.507,1,11,3,2020
435,658828.308,1,11,4,2020
436,673587.975,1,11,5,2020
437,657386.079,1,11,6,2020
438,693685.822,1,11,7,2020
439,670393.413,1,11,8,2020
440,686850.454,1,11,9,2020
441,760044.453,1,11,10,2020
442,746484.147,1,11,11,2020
443,812041.784,1,11,12,2020
444,826921.959,1,21,1,2020
445,710409.485,1,21,2,2020
446,748455.972,1,21,3,2020
447,630962.979,1,21,4,2020
448,700712.044,1,21,5,2020
449,751296.944,1,21,6,2020
450,909611.101,1,21,7,2020
451,904273.955,1,21,8,2020
452,773862.263,1,21,9,2020
453,737168.266,1,21,10,2020
454,714052.423,1,21,11,2020
455,796790.727,1,21,12,2020
456,3806960.159,1,4,1,2021
457,3016830.479,1,4,2,2021
458,3214203.583,1,4,3,2021
459,2944784.896,1,4,4,2021
460,3088142.326,1,4,5,2021
461,3166035.944,1,4,6,2021
462,3688723.186,1,4,7,2021
463,3781782.817,1,4,8,2021
464,3261936.787,1,4,9,2021
465,3062789.782,1,4,10,2021
466,3180304.564,1,4,11,2021
467,3441074.577,1,4,12,2021
468,899098.143,1,5,1,2021
469,806734.845,1,5,2,2021
470,901481.249,1,5,3,2021
471,835504.911,1,5,4,2021
472,854555.031,1,5,5,2021
473,881086.419,1,5,6,2021
474,914403.06,1,5,7,2021
475,890945.768,1,5,8,2021
476,857223.626,1,5,9,2021
477,842280.712,1,5,10,2021
478,884111.867,1,5,11,2021
479,895918.585,1,5,12,2021
480,648143.584,1,8742,1,2021
481,576433.134,1,8742,2,2021
482,640601.157,1,8742,3,2021
483,615594.768,1,8742,4,2021
484,638221.977,1,8742,5,2021
485,637990.222,1,8742,6,2021
486,702057.86,1,8742,7,2021
487,728446.23,1,8742,8,2021
488,724325.74,1,8742,9,2021
489,734306.806,1,8742,10,2021
490,703556.805,1,8742,11,2021
491,719893.229,1,8742,12,2021
492,301323.586,1,6,1,2021
493,312051.981,1,6,2,2021
494,354118.186,1,6,3,2021
495,334415.536,1,6,4,2021
496,354486.889,1,6,5,2021
497,350482.439,1,6,6,2021
498,345632.751,1,6,7,2021
499,345589.824,1,6,8,2021
500,338863.197,1,6,9,2021
501,328646.412,1,6,10,2021
502,336095.262,1,6,11,2021
503,314925.718,1,6,12,2021
504,1064675.945,1,7,1,2021
505,916023.561,1,7,2,2021
506,1012109.007,1,7,3,2021
507,945621.257,1,7,4,2021
508,983773.982,1,7,5,2021
509,978293.68,1,7,6,2021
510,1138124.645,1,7,7,2021
511,1111553.19,1,7,8,2021
512,942787.008,1,7,9,2021
513,889166.115,1,7,10,2021
514,988074.665,1,7,11,2021
515,1048655.126,1,7,12,2021
516,1267533.707,1,8,1,2021
517,1100679.804,1,8,2,2021
518,1190666.42,1,8,3,2021
519,1076771.526,1,8,4,2021
520,1107577.857,1,8,5,2021
521,1082119.836,1,8,6,2021
522,1195913.925,1,8,7,2021
523,1139478.345,1,8,8,2021
524,1061815.292,1,8,9,2021
525,1074792.045,1,8,10,2021
526,1177942.866,1,8,11,2021
527,1192721.645,1,8,12,2021
528,4205890.778,1,9,1,2021
529,3567341.458,1,9,2,2021
530,3853996.069,1,9,3,2021
531,3484744.509,1,9,4,2021
532,3492614.749,1,9,5,2021
533,3674121.832,1,9,6,2021
534,4078621.766,1,9,7,2021
535,3663381.789,1,9,8,2021
536,3695619.204,1,9,9,2021
537,3493176.901,1,9,10,2021
538,3714667.184,1,9,11,2021
539,3796545.717,1,9,12,2021
540,18538.656,1,8744,1,2021
541,15215.238,1,8744,2,2021
542,15340.218,1,8744,3,2021
543,15128.393,1,8744,4,2021
544,15515.205,1,8744,5,2021
545,15653.908,1,8744,6,2021
546,17409.528,1,8744,7,2021
547,17829.99,1,8744,8,2021
548,16921.593,1,8744,9,2021
549,16448.789,1,8744,10,2021
550,16035.752,1,8744,11,2021
551,16848.583,1,8744,12,2021
552,2740894.826,1,13,1,2021
553,2262499.896,1,13,2,2021
554,2378553.143,1,13,3,2021
555,2130429.496,1,13,4,2021
556,2107378.281,1,13,5,2021
557,2166515.997,1,13,6,2021
558,2347371.347,1,13,7,2021
559,2259789.28,1,13,8,2021
560,2072075.097,1,13,9,2021
561,2075335.099,1,13,10,2021
562,2386503.737,1,13,11,2021
563,2507655.755,1,13,12,2021
564,443553.286,1,14,1,2021
565,410832.434,1,14,2,2021
566,437964.061,1,14,3,2021
567,406589.998,1,14,4,2021
568,426771.793,1,14,5,2021
569,422513.312,1,14,6,2021
570,405159.449,1,14,7,2021
571,391177.128,1,14,8,2021
572,423399.212,1,14,9,2021
573,414220.512,1,14,10,2021
574,437375.677,1,14,11,2021
575,421278.98,1,14,12,2021
576,2541784.95,1,15,1,2021
577,2020604.117,1,15,2,2021
578,2252014.427,1,15,3,2021
579,2051278.824,1,15,4,2021
580,2055062.999,1,15,5,2021
581,2166490.181,1,15,6,2021
582,2560090.745,1,15,7,2021
583,2405188.279,1,15,8,2021
584,2264075.528,1,15,9,2021
585,2082354.219,1,15,10,2021
586,2207275.169,1,15,11,2021
587,2263430.835,1,15,12,2021
588,487003.673,1,16,1,2021
589,395298.669,1,16,2,2021
590,425492.436,1,16,3,2021
591,376617.189,1,16,4,2021
592,383981.298,1,16,5,2021
593,405586.42,1,16,6,2021
594,423714.488,1,16,7,2021
595,509621.441,1,16,8,2021
596,414550.084,1,16,9,2021
597,382150.628,1,16,10,2021
598,421384.241,1,16,11,2021
599,429876.923,1,16,12,2021
600,1694495.593,1,17,1,2021
601,1484968.544,1,17,2,2021
602,1564011.296,1,17,3,2021
603,1426069.727,1,17,4,2021
604,1454054.616,1,17,5,2021
605,1365134.11,1,17,6,2021
606,1369843.94,1,17,7,2021
607,1377124.299,1,17,8,2021
608,1381155.204,1,17,9,2021
609,1418232.566,1,17,10,2021
610,1493168.54,1,17,11,2021
611,1521980.401,1,17,12,2021
612,470923.625,1,8743,1,2021
613,361715.977,1,8743,2,2021
614,410107.525,1,8743,3,2021
615,378811.138,1,8743,4,2021
616,380442.847,1,8743,5,2021
617,459727.74,1,8743,6,2021
618,601270.435,1,8743,7,2021
619,632604.942,1,8743,8,2021
620,544052.918,1,8743,9,2021
621,444700.654,1,8743,10,2021
622,408606.143,1,8743,11,2021
623,435319.025,1,8743,12,2021
624,146298.76,1,20,1,2021
625,129503.338,1,20,2,2021
626,144652.408,1,20,3,2021
627,129506.033,1,20,4,2021
628,130651.022,1,20,5,2021
629,128050.949,1,20,6,2021
630,140864.511,1,20,7,2021
631,130850.035,1,20,8,2021
632,133323.629,1,20,9,2021
633,135918.94,1,20,10,2021
634,140846.25,1,20,11,2021
635,141258.077,1,20,12,2021
636,18321.295,1,8745,1,2021
637,15061.0,1,8745,2,2021
638,16300.381,1,8745,3,2021
639,15293.779,1,8745,4,2021
640,16356.496,1,8745,5,2021
641,16601.305,1,8745,6,2021
642,19875.328,1,8745,7,2021
643,20335.852,1,8745,8,2021
644,18196.105,1,8745,9,2021
645,16468.922,1,8745,10,2021
646,15759.968,1,8745,11,2021
647,16807.759,1,8745,12,2021
648,1452389.83,1,10,1,2021
649,1331125.747,1,10,2,2021
650,1445981.843,1,10,3,2021
651,1298198.318,1,10,4,2021
652,1350193.26,1,10,5,2021
653,1325699.371,1,10,6,2021
654,1313327.347,1,10,7,2021
655,1032737.987,1,10,8,2021
656,1303370.899,1,10,9,2021
657,1328564.107,1,10,10,2021
658,1414374.753,1,10,11,2021
659,1278916.676,1,10,12,2021
660,867913.759,1,11,1,2021
661,754268.325,1,11,2,2021
662,808309.756,1,11,3,2021
663,768077.88,1,11,4,2021
664,776093.729,1,11,5,2021
665,729077.631,1,11,6,2021
666,754393.956,1,11,7,2021
