,Provincias,Ramas de actividad,periodo,Total
93,1,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1946392.0
94,1,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1669800.0
95,1,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1961560.0
96,1,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2434844.0
97,1,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2327165.0
98,1,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2392190.0
99,1,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2891885.0
100,1,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2700268.0
101,1,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2754616.0
102,1,Valor añadido bruto total,2021,11707303.0
103,1,Valor añadido bruto total,2020,10704838.0
104,1,Valor añadido bruto total,2019,11621124.0
105,1,Impuestos netos sobre los productos,2021,1232680.0
106,1,Impuestos netos sobre los productos,2020,1026613.0
107,1,Impuestos netos sobre los productos,2019,1192277.0
108,33,"A. Agricultura, ganadería, silvicultura y pesca",2021,306301.0
109,33,"A. Agricultura, ganadería, silvicultura y pesca",2020,284291.0
110,33,"A. Agricultura, ganadería, silvicultura y pesca",2019,307966.0
111,33,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,4572369.0
112,33,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3762056.0
113,33,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4239988.0
114,33,C. - De las cuales: Industria manufacturera,2021,3118701.0
115,33,C. - De las cuales: Industria manufacturera,2020,2508510.0
116,33,C. - De las cuales: Industria manufacturera,2019,2902969.0
